id,nome,email,telefone,cep,data_nascimento,genero
1,João Silva,joao.silva@email.com,(11) 99999-1111,01310-100,1985-03-15,M
2,Maria Santos,maria.santos@email.com,(21) 88888-2222,20040-007,1990-07-22,F
3,Pedro Oliveira,pedro.oliveira@email.com,(31) 77777-3333,30112-000,1988-11-08,M
4,Ana Costa,ana.costa@email.com,(41) 66666-4444,80020-110,1992-04-12,F
5,Carlos Ferreira,carlos.ferreira@email.com,(51) 55555-5555,90020-025,1987-09-30,M
6,Juliana Lima,juliana.lima@email.com,(61) 44444-6666,70070-350,1995-01-18,F
7,Ricardo Almeida,ricardo.almeida@email.com,(71) 33333-7777,40026-010,1983-12-05,M
8,Fernanda Rocha,fernanda.rocha@email.com,(81) 22222-8888,50030-230,1991-06-25,F
9,Lucas Martins,lucas.martins@email.com,(91) 11111-9999,66093-005,1989-08-14,M
10,Patrícia Souza,patricia.souz@email.com,(62) 99999-0000,74120-020,1993-02-28,F
11,Rafael Barbosa,rafael.barbosa@email.com,(27) 88888-1111,29010-360,1986-05-10,M
12,Carolina Nascimento,carolina.nascimento@email.com,(84) 77777-2222,59064-740,1994-11-03,F
13,Thiago Pereira,thiago.pereira@email.com,(98) 66666-3333,65015-450,1984-07-19,M
14,Amanda Rodrigues,amanda.rodrigues@email.com,(68) 55555-4444,69900-000,1990-12-07,F
15,Diego Cardoso,diego.cardoso@email.com,(95) 44444-5555,69300-000,1988-03-21,M
16,Vanessa Mendes,vanessa.mendes@email.com,(96) 33333-6666,68900-000,1992-09-15,F
17,Gabriel Castro,gabriel.castro@email.com,(92) 22222-7777,69005-000,1987-01-30,M
18,Isabela Freitas,isabela.freitas@email.com,(63) 11111-8888,77001-000,1995-04-08,F
19,Matheus Gonçalves,matheus.goncalves@email.com,(67) 99999-9999,79002-000,1983-10-12,M
20,Sofia Dias,sofia.dias@email.com,(65) 88888-0000,78005-000,1991-08-24,F
21,Leonardo Moreira,leonardo.moreira@email.com,(79) 77777-1111,49020-000,1989-12-16,M
22,Beatriz Carvalho,beatriz.carvalho@email.com,(83) 66666-2222,58038-000,1993-06-02,F
23,Guilherme Lopes,guilherme.lopes@email.com,(85) 55555-3333,60060-230,1986-11-28,M
24,Larissa Gomes,larissa.gomes@email.com,(86) 44444-4444,64000-000,1994-03-14,F
25,Bruno Ribeiro,bruno.ribeiro@email.com,(88) 33333-5555,62010-000,1985-09-07,M
26,Mariana Teixeira,mariana.teixeira@email.com,(87) 22222-6666,50030-230,1990-05-20,F
27,André Monteiro,andre.monteiro@email.com,(89) 11111-7777,64000-000,1988-07-11,M
28,Camila Correia,camila.correia@email.com,(94) 99999-8888,66093-005,1992-01-25,F
29,Vinícius Fernandes,vinicius.fernandes@email.com,(93) 88888-9999,68900-000,1987-04-18,M
30,Letícia Araújo,leticia.araujo@email.com,(91) 77777-0000,66093-005,1995-12-09,F
31,Roberto Cavalcanti,roberto.cavalcanti@email.com,(81) 66666-1111,50030-230,1984-08-31,M
32,Daniela Melo,daniela.melo@email.com,(71) 55555-2222,40026-010,1991-10-13,F
33,Felipe Xavier,felipe.xavier@email.com,(61) 44444-3333,70070-350,1989-02-26,M
34,Natália Santos,natalia.santos@email.com,(51) 33333-4444,90020-025,1993-07-04,F
35,Marcelo Costa,marcelo.costa@email.com,(41) 22222-5555,80020-110,1986-12-22,M
36,Renata Oliveira,renata.oliveira@email.com,(31) 11111-6666,30112-000,1990-03-17,F
37,Alexandre Lima,alexandre.lima@email.com,(21) 99999-7777,20040-007,1988-06-29,M
38,Tatiana Silva,tatiana.silva@email.com,(11) 88888-8888,01310-100,1994-11-08,F
39,Rodrigo Pereira,rodrigo.pereira@email.com,(27) 77777-9999,29010-360,1985-01-15,M
40,Claudia Martins,claudia.martins@email.com,(84) 66666-0000,59064-740,1992-09-23,F
41,Gustavo Alves,gustavo.alves@email.com,(98) 55555-1111,65015-450,1987-05-11,M
42,Elaine Ferreira,elaine.ferreira@email.com,(68) 44444-2222,69900-000,1991-12-03,F
43,Paulo Mendes,paulo.mendes@email.com,(95) 33333-3333,69300-000,1989-08-27,M
44,Simone Barbosa,simone.barbosa@email.com,(96) 22222-4444,68900-000,1993-04-16,F
45,Henrique Rocha,henrique.rocha@email.com,(92) 11111-5555,69005-000,1986-10-09,M
46,Adriana Nascimento,adriana.nascimento@email.com,(63) 99999-6666,77001-000,1990-07-21,F
47,Rodrigo Dias,rodrigo.dias@email.com,(67) 88888-7777,79002-000,1984-12-14,M
48,Caroline Moreira,caroline.moreira@email.com,(65) 77777-8888,78005-000,1995-02-28,F
49,Thiago Carvalho,thiago.carvalho@email.com,(79) 66666-9999,49020-000,1988-11-05,M
50,Amanda Lopes,amanda.lopes@email.com,(83) 55555-0000,58038-000,1992-06-19,F 
